PPN	dataProvider	format	identifier	isShownAt	object	provider	publisher	relation	rights	source	subject	title	type
PPN770092144	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000F7E5000C0000	http://resolver.staatsbibliothek-berlin.de/SBB0000F7E5000C0000	http://digital.staatsbibliothek-berlin.de/europeana/PPN770092144/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Staatsbibliothek zu Berlin – Preußischer Kulturbesitz, Germany	Heimatgrüße aus dem Fuldatal. Spangenberg  Berlin ; 12.1915	Open Access	Heimatgrüße aus dem Fuldatal. Berlin	Krieg 1914 1918	Heimatgrüße aus dem Fuldatal	Volume
PPN733860087	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000B4ED00000000	http://resolver.staatsbibliothek-berlin.de/SBB0000B4ED00000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN733860087/00000003.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Enßlin & Laiblin	None	Open Access	Giersiepen, Hermann  Mühlmeister, Karl: Der große Haß  Kriegsbilder. Reutlingen  Berlin	Krieg 1914 1918	Der große Haß	Monograph
PPN722225423	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB00009CAF00040000	http://resolver.staatsbibliothek-berlin.de/SBB00009CAF00040000	http://digital.staatsbibliothek-berlin.de/europeana/PPN722225423/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Meiner  Staatsbibliothek zu Berlin – Preußischer Kulturbesitz, Germany	Der Europäische Krieg in aktenmäßiger Darstellung. Leipzig  Berlin ; Bd. 4. Hälfte 1	Open Access	Januar - März 1916. Leipzig  Berlin	Krieg 1914 1918	Januar - März 1916	Volume
PPN684667452	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB000073A700000000	http://resolver.staatsbibliothek-berlin.de/SBB000073A700000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN684667452/00000003.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	"Verl. ""Neues Vaterland"" (L. Jannasch)"	None	Open Access	Tepper-Laski, Kurt: Rennsport und Engländerei. Berlin  Berlin	Krieg 1914 1918	Rennsport und Engländerei	Monograph
PPN727631624	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000A5C100000000	http://resolver.staatsbibliothek-berlin.de/SBB0000A5C100000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN727631624/00000003.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Piper	None	Open Access	Die Schlacht in Flandern  307 Bilder aus dem Bereich Diksmuide, Houthulst, Poelkappelle, Langemark, Roeselare, Thielt, Meesen, Hollebeke, Meenen, Kortrik. München  Berlin	Krieg 1914 1918	Die Schlacht in Flandern	Monograph
PPN670003506	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000650700000000	http://resolver.staatsbibliothek-berlin.de/SBB0000650700000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN670003506/00000003.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Vogel & Vogel	None	Open Access	Humor-Lade für unsere Feldgrauen  reichhaltige Sammlung von zündenden Witzen und launigen Anekdoten gereimt und ungereimt mit trefflichen Bildern aus den Kriegsjahren 1914/15. Leipzig  Berlin	Historische Drucke	Humor-Lade für unsere Feldgrauen	Monograph
PPN667644539	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB00005C3800000000	http://resolver.staatsbibliothek-berlin.de/SBB00005C3800000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN667644539/00000003.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Naturwissenschaftlicher Verlag	None	Open Access	Block, Josef: Blut als Nahrungsmittel!  Unsere Ernährung und der hohe Wert der Eiweißkörper des Blutes; seine Verwendung zur billigen Herstellung von Brot und Speisen, insbesondere während des Krieges ; nebst einem Anhang: Der Eiweißmangel in der Landwirtschaft. Godesberg bei Bonn  Berlin	Historische Drucke	Blut als Nahrungsmittel!	Monograph
PPN743638158	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000D2FE00000000	http://resolver.staatsbibliothek-berlin.de/SBB0000D2FE00000000	None	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	None	Open Access	Mitteilungen für den vaterländischen Unterricht. Stettin  Berlin	Krieg 1914 1918	Mitteilungen für den vaterländischen Unterricht	Periodical
PPN67090919X	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB000066AD00000000	http://resolver.staatsbibliothek-berlin.de/SBB000066AD00000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN67090919X/00000005.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Staackmann	None	Open Access	Gabelentz, Georg: Unsere Brüder da draußen  ein Gedenkbuch sächsischer Taten. Leipzig  Berlin	Historische Drucke	Unsere Brüder da draußen	Monograph
PPN719045576	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000938800000000	http://resolver.staatsbibliothek-berlin.de/SBB0000938800000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN719045576/00000003.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Lintz	None	Open Access	Kaulitz-Niedeck, Rosa: Wie können sich die Frauen in der Kriegszeit nützlich machen?. Trier  Berlin	Krieg 1914 1918	Wie können sich die Frauen in der Kriegszeit nützlich machen?	Monograph
PPN770168507	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001035300000000	http://resolver.staatsbibliothek-berlin.de/SBB0001035300000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN770168507/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	None	Open Access	Der Sieg der Alliierten  Britischer Gewinn an Gefangenen und Geschützen vom 8-8-18 bis [...] 8-9-18. [London]  Berlin	Krieg 1914 1918	Der Sieg der Alliierten	Monograph
PPN738600423	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000C2DB00010000	http://resolver.staatsbibliothek-berlin.de/SBB0000C2DB00010000	http://digital.staatsbibliothek-berlin.de/europeana/PPN738600423/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Ausschuß zur Förderung des Kleingartenbaues  Staatsbibliothek zu Berlin – Preußischer Kulturbesitz, Germany	Presser, Heinrich: Kleingartenbau zur Kriegszeit. Darmstadt  Berlin ; [1]	Open Access	Presser, Heinrich: Kleingartenbau zur Kriegszeit. Darmstadt  Berlin	Krieg 1914 1918	Kleingartenbau zur Kriegszeit	Volume
PPN722225970	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB00009CAF00050000	http://resolver.staatsbibliothek-berlin.de/SBB00009CAF00050000	http://digital.staatsbibliothek-berlin.de/europeana/PPN722225970/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Meiner  Staatsbibliothek zu Berlin – Preußischer Kulturbesitz, Germany	Der Europäische Krieg in aktenmäßiger Darstellung. Leipzig  Berlin ; Bd. 4, Hälfte 2	Open Access	April - Juni 1916. Leipzig  Berlin	Krieg 1914 1918	April - Juni 1916	Volume
PPN722271514	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB00009CAF00120000	http://resolver.staatsbibliothek-berlin.de/SBB00009CAF00120000	None	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Staatsbibliothek zu Berlin – Preußischer Kulturbesitz, Germany	April - Juni 1916. Leipzig  Berlin ; 	Open Access	Die Seeschlacht am Skagerrak. Berlin	Krieg 1914 1918	Die Seeschlacht am Skagerrak	Other
PPN755669126	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000E84400000000	http://resolver.staatsbibliothek-berlin.de/SBB0000E84400000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN755669126/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Friederichsen	None	Open Access	Karte der französischen Gefangenenlager und hauptsächslichsten Hospitäler (Lazarette). Hamburg  Berlin	Krieg 1914 1918	Karte der französischen Gefangenenlager und hauptsächslichsten Hospitäler (Lazarette)	Monograph
